id,account_id,reported_at,amount
72,2,2023-07-20T12:00:00,72640.0
73,2,2023-07-21T15:00:00,72390.0
74,1,2023-07-28T15:00:00,46618.06
75,2,2023-08-02T15:00:00,72330.0
76,1,2023-08-06T12:00:00,56618.06
77,2,2023-08-06T15:00:00,72205.0
78,2,2023-08-06T15:00:00,72080.0
79,1,2023-08-07T15:00:00,56368.06
80,1,2023-08-10T15:00:00,53268.06
81,1,2023-08-10T15:00:00,53188.06
82,1,2023-08-14T15:00:00,53018.06
83,1,2023-08-17T13:00:00,52971.07
84,2,2023-08-20T12:00:00,82205.0
85,2,2023-08-21T15:00:00,81955.0
86,1,2023-08-28T15:00:00,52721.07
87,2,2023-09-02T15:00:00,81895.0
88,1,2023-09-06T12:00:00,62721.07
89,2,2023-09-06T15:00:00,81770.0
90,2,2023-09-06T15:00:00,81645.0
91,1,2023-09-07T15:00:00,62471.07
92,1,2023-09-10T15:00:00,59371.07
93,1,2023-09-10T15:00:00,59291.07
94,1,2023-09-14T15:00:00,59121.07
95,1,2023-09-17T13:00:00,59074.08
96,2,2023-09-20T12:00:00,91770.0
97,2,2023-09-21T15:00:00,91520.0
98,1,2023-09-28T15:00:00,58824.08
99,2,2023-10-02T15:00:00,91460.0
100,1,2023-10-06T12:00:00,68824.08
101,2,2023-10-06T15:00:00,91335.0
102,2,2023-10-06T15:00:00,91210.0
103,1,2023-10-07T15:00:00,68574.08
104,1,2023-10-10T15:00:00,65474.08
105,1,2023-10-10T15:00:00,65394.08
106,1,2023-10-14T15:00:00,65224.08
107,1,2023-10-17T13:00:00,65177.09
108,2,2023-10-20T12:00:00,101335.0
109,2,2023-10-21T15:00:00,101085.0
110,1,2023-10-28T15:00:00,64927.09
111,2,2023-11-02T15:00:00,101025.0
112,1,2023-11-06T12:00:00,74927.09
113,2,2023-11-06T15:00:00,100900.0
114,2,2023-11-06T15:00:00,100775.0
115,1,2023-11-07T15:00:00,74677.09
116,1,2023-11-10T15:00:00,71577.09
117,1,2023-11-10T15:00:00,71497.09
118,1,2023-11-14T15:00:00,71327.09
119,1,2023-11-17T13:00:00,71280.1
120,2,2023-11-20T12:00:00,110900.0
121,2,2023-11-21T15:00:00,110650.0
122,1,2023-11-28T15:00:00,71030.1
123,2,2023-12-02T15:00:00,110590.0
124,1,2023-12-06T12:00:00,81030.1
125,2,2023-12-06T15:00:00,110465.0
126,2,2023-12-06T15:00:00,110340.0
127,1,2023-12-07T15:00:00,80780.1
128,1,2023-12-10T15:00:00,77680.1
129,1,2023-12-10T15:00:00,77600.1
130,1,2023-12-14T15:00:00,77430.1
131,1,2023-12-17T13:00:00,77383.11
132,2,2023-12-20T12:00:00,120465.0
133,2,2023-12-21T15:00:00,120215.0
134,1,2023-12-28T15:00:00,77133.11
135,2,2024-01-02T15:00:00,120155.0
136,1,2024-01-06T12:00:00,87133.11
137,2,2024-01-06T15:00:00,120030.0
138,2,2024-01-06T15:00:00,119905.0
139,1,2024-01-07T15:00:00,86883.11
140,1,2024-01-10T15:00:00,83783.11
141,1,2024-01-10T15:00:00,83703.11
142,1,2024-01-14T15:00:00,83533.11
143,1,2024-01-17T13:00:00,83486.12
144,2,2024-01-20T12:00:00,130030.0
145,2,2024-01-21T15:00:00,129780.0
146,1,2024-01-28T15:00:00,83236.12
147,2,2024-02-02T15:00:00,129720.0
148,1,2024-02-06T12:00:00,93236.12
149,2,2024-02-06T15:00:00,129595.0
150,2,2024-02-06T15:00:00,129470.0
151,1,2024-02-07T15:00:00,92986.12
152,1,2024-02-10T15:00:00,89886.12
153,1,2024-02-10T15:00:00,89806.12
154,1,2024-02-14T15:00:00,89636.12
155,1,2024-02-17T13:00:00,89589.13
156,2,2024-02-20T12:00:00,139595.0
157,2,2024-02-21T15:00:00,139345.0
158,1,2024-02-28T15:00:00,89339.13
159,2,2024-03-02T15:00:00,139285.0
160,1,2024-03-06T12:00:00,99339.13
161,2,2024-03-06T15:00:00,139160.0
162,2,2024-03-06T15:00:00,139035.0
163,1,2024-03-07T15:00:00,99089.13
164,1,2024-03-10T15:00:00,95989.13
165,1,2024-03-10T15:00:00,95909.13
166,1,2024-03-14T15:00:00,95739.13
167,1,2024-03-17T13:00:00,95692.14
168,2,2024-03-20T12:00:00,149160.0
169,2,2024-03-21T15:00:00,148910.0
170,1,2024-03-28T15:00:00,95442.14
171,2,2024-04-02T15:00:00,148850.0
172,1,2024-04-06T12:00:00,105442.14
173,2,2024-04-06T15:00:00,148725.0
174,2,2024-04-06T15:00:00,148600.0
175,1,2024-04-07T15:00:00,105192.14
176,1,2024-04-10T15:00:00,102092.14
177,1,2024-04-10T15:00:00,102012.14
178,1,2024-04-14T15:00:00,101842.14
179,1,2024-04-17T13:00:00,101795.15
180,2,2024-04-20T12:00:00,158725.0
181,2,2024-04-21T15:00:00,158475.0
182,1,2024-04-28T15:00:00,101545.15
183,2,2024-05-02T15:00:00,158415.0
184,1,2024-05-06T12:00:00,111545.15
185,2,2024-05-06T15:00:00,158290.0
186,2,2024-05-06T15:00:00,158165.0
187,1,2024-05-07T15:00:00,111295.15
188,1,2024-05-10T15:00:00,108195.15
189,1,2024-05-10T15:00:00,108115.15
190,1,2024-05-14T15:00:00,107945.15
191,1,2024-05-17T13:00:00,107898.16
192,2,2024-05-20T12:00:00,168290.0
193,2,2024-05-21T15:00:00,168040.0
194,1,2024-05-28T15:00:00,107648.16
195,2,2024-06-02T15:00:00,167980.0
196,1,2024-06-06T12:00:00,117648.16
197,2,2024-06-06T15:00:00,167855.0
198,2,2024-06-06T15:00:00,167730.0
199,1,2024-06-07T15:00:00,117398.16
200,1,2024-06-10T15:00:00,114298.16
201,1,2024-06-10T15:00:00,114218.16
202,1,2024-06-14T15:00:00,114048.16
203,1,2024-06-17T13:00:00,114001.17
204,2,2024-06-20T12:00:00,177855.0
205,2,2024-06-21T15:00:00,177605.0
206,1,2024-06-28T15:00:00,113751.17
